sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,368315274500.0,16.375,-30.875,-37.5625
magnetometer,smartphone,369315274500.0,10.4375,-39.4375,-30.8125
magnetometer,smartphone,370315274500.0,14.875,-37.875,-31.0
magnetometer,smartphone,371315274500.0,18.25,-32.5,-35.3125
magnetometer,smartphone,372315274500.0,17.0625,-29.6875,-35.6875
magnetometer,smartphone,373315274500.0,13.9375,-31.3125,-35.9375
magnetometer,smartphone,374315274500.0,9.25,-34.8125,-35.3125
magnetometer,smartphone,375315274500.0,13.8125,-34.1875,-35.5
magnetometer,smartphone,376315274500.0,15.8125,-35.25,-33.625
magnetometer,smartphone,377315274500.0,12.25,-38.6875,-30.5
magnetometer,smartphone,378315274500.0,9.0625,-43.0625,-24.5625
magnetometer,smartphone,379315274500.0,14.6875,-40.25,-30.8125
magnetometer,smartphone,380315274500.0,14.875,-35.375,-35.0
magnetometer,smartphone,381315274500.0,14.875,-36.0625,-32.5625
magnetometer,smartphone,382315274500.0,15.4375,-33.375,-35.1875
magnetometer,smartphone,383315274500.0,14.0625,-34.6875,-36.0625
magnetometer,smartphone,384315274500.0,10.5,-40.0625,-30.4375
magnetometer,smartphone,385315274500.0,16.4375,-36.8125,-32.25
magnetometer,smartphone,386315274500.0,15.75,-35.0,-35.375
magnetometer,smartphone,387315274500.0,11.25,-35.25,-35.9375
magnetometer,smartphone,388315274500.0,13.0,-35.0,-32.5
magnetometer,smartphone,389315274500.0,12.25,-40.0,-30.0625
magnetometer,smartphone,390315274500.0,13.4375,-38.5625,-30.3125
magnetometer,smartphone,391315274500.0,16.0625,-35.3125,-33.8125
magnetometer,smartphone,392315274500.0,13.625,-33.1875,-36.25
magnetometer,smartphone,393315274500.0,14.75,-33.25,-34.25
magnetometer,smartphone,394315274500.0,15.375,-33.75,-35.5
magnetometer,smartphone,395315274500.0,17.8125,-35.4375,-34.4375
magnetometer,smartphone,396315274500.0,11.0625,-42.8125,-27.3125
magnetometer,smartphone,397315274500.0,13.4375,-38.5625,-32.5
magnetometer,smartphone,398315274500.0,11.75,-37.75,-33.125
magnetometer,smartphone,399315274500.0,-1.75,-35.4375,-38.25
magnetometer,smartphone,400315274500.0,0.375,-38.75,-36.0
magnetometer,smartphone,401315274500.0,3.8125,-42.75,-29.125
magnetometer,smartphone,402315274500.0,5.8125,-39.0625,-33.0
magnetometer,smartphone,403315274500.0,1.0,-38.375,-34.125
magnetometer,smartphone,404315274500.0,3.1875,-35.75,-36.75
magnetometer,smartphone,405315274500.0,3.5625,-35.375,-36.4375
magnetometer,smartphone,406315274500.0,1.3125,-35.75,-33.875
magnetometer,smartphone,407315274500.0,6.0,-41.375,-26.25
magnetometer,smartphone,408315274500.0,6.3125,-39.75,-31.0625
magnetometer,smartphone,409315274500.0,7.25,-39.6875,-32.625
