"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.087072527E0;-2.017653465E0;1.285837293E0;1.331424713E-1
2.097073027E0;-2.094995022E0;1.364677310E0;-9.687948227E-2
2.107073027E0;-2.118741512E0;1.528565288E0;-3.024430275E-1
2.117073027E0;-2.114438295E0;1.492759347E0;-4.045500755E-1
2.127073027E0;-2.125425100E0;1.424899340E0;-2.520480156E-1
2.137073193E0;-2.230820894E0;1.445607066E0;1.377105713E-2
2.147073335E0;-2.345583439E0;1.563346148E0;5.009460449E-2
2.157077460E0;-2.460735559E0;1.691136003E0;-9.356880188E-2
2.167077460E0;-2.390905380E0;1.679450512E0;-1.282753944E-1
2.177077460E0;-2.367897034E0;1.682303309E0;-1.436343193E-1
2.187077550E0;-2.150526524E0;1.571601868E0;1.788940430E-1
2.197077550E0;-1.758038044E0;1.392742276E0;6.267528534E-1
2.207077550E0;-1.438479662E0;1.184745312E0;1.221676826E0
2.216504264E0;-1.437001944E0;1.203294873E0;1.217178345E0
2.225435930E0;-1.434992075E0;1.220933795E0;1.212558746E0
2.241460930E0;-1.418232679E0;1.170655608E0;1.365787506E0
2.251460930E0;-1.427929163E0;1.125406027E0;1.488932610E0
2.261460930E0;-1.480695009E0;1.011001468E0;1.603356361E0
2.268447930E0;-1.453802347E0;1.040240884E0;1.581129074E0
2.273772596E0;-1.436780214E0;1.053148508E0;1.568183899E0
2.281272846E0;-1.422415018E0;9.310443401E-1;1.549030304E0
2.291271846E0;-1.515118837E0;7.069016695E-1;1.393444061E0
2.301271846E0;-1.709985256E0;6.907854080E-1;1.230406761E0
2.311272346E0;-2.143501282E0;8.078889847E-1;8.678369522E-1
2.321272346E0;-2.406726360E0;9.060502052E-1;4.790029526E-1
2.331272346E0;-2.591305971E0;9.277464151E-1;-1.510620117E-3
2.341272346E0;-2.633598089E0;9.115905762E-1;-3.417911530E-1
2.351272512E0;-2.708323479E0;9.843358994E-1;-8.028564453E-1
2.361272654E0;-2.719719410E0;1.055584550E0;-1.157618523E0
2.371272654E0;-2.729548454E0;1.158068895E0;-1.441684246E0
2.381272765E0;-2.832233906E0;1.270903826E0;-1.905032635E0
2.391272865E0;-2.790621281E0;1.234432697E0;-1.920094013E0
2.401272865E0;-2.951305389E0;1.308234811E0;-2.048977852E0
2.411272865E0;-3.115608692E0;1.441101432E0;-2.105257034E0
2.421272865E0;-3.137196064E0;1.427467465E0;-2.044198990E0
2.431128436E0;-3.039206028E0;1.415867925E0;-2.091928482E0
2.440460636E0;-2.987194538E0;1.413959861E0;-2.117604256E0
2.449835698E0;-3.279287338E0;1.564794660E0;-1.602850914E0
2.459247462E0;-3.375867367E0;1.607668281E0;-1.323648930E0
2.468691962E0;-3.448872805E0;1.614598274E0;-1.190246582E0
2.477743277E0;-3.406006575E0;1.634150624E0;-1.214890480E0
2.486441977E0;-3.379922628E0;1.670786381E0;-1.234795570E0
2.502467977E0;-3.365557432E0;1.900629759E0;4.370784760E-2
2.512467977E0;-2.956941128E0;1.854498267E0;9.173965454E-1
2.522467977E0;-2.605897903E0;1.775525451E0;1.637428284E0
2.532468477E0;-1.955770254E0;1.539997220E0;2.809135437E0
2.542468477E0;-1.699706554E0;1.436056018E0;3.464479446E0
2.552468477E0;-1.369286060E0;1.274186492E0;4.259424210E0
2.562468477E0;-1.284013271E0;1.224531531E0;4.589200020E0
2.572468477E0;-1.277373791E0;1.227283120E0;4.891927719E0
2.582468619E0;-1.247773170E0;1.290494800E0;4.952400208E0
2.592468619E0;-1.250946999E0;1.290109873E0;4.802946091E0
2.602468619E0;-1.266595840E0;1.258859754E0;3.912624359E0
2.612470119E0;-1.215664387E0;1.290463090E0;3.885406494E0
2.622471028E0;-1.297246695E0;1.417753220E0;3.267518997E0
2.632472778E0;-1.618705750E0;1.573763013E0;2.062705040E0
2.642472778E0;-2.199345112E0;1.915127754E0;4.832077026E-1
2.652470920E0;-2.115598440E0;1.868487358E0;4.528417587E-1
2.662470986E0;-2.200209379E0;1.909537196E0;-4.952335358E-2
2.672470986E0;-2.448499680E0;2.041341305E0;-9.064912796E-1
2.682470986E0;-2.746588469E0;2.406562328E0;-2.268630505E0
2.692025152E0;-2.683067799E0;2.303384781E0;-2.278003216E0
2.701181730E0;-2.632922649E0;2.185661793E0;-2.278268337E0
2.717214730E0;-2.671229839E0;2.235939980E0;-2.479381084E0
2.727206730E0;-2.732876778E0;2.259956598E0;-3.089221954E0
2.737206730E0;-2.780298710E0;2.292842865E0;-3.636152267E0
2.747207230E0;-2.774666786E0;2.238890648E0;-3.851372719E0
2.757205230E0;-2.797606945E0;2.221660376E0;-3.978349686E0
2.767205230E0;-2.865953922E0;2.262244225E0;-4.282494068E0
2.777205430E0;-2.953571081E0;2.301389217E0;-4.302770138E0
2.787205596E0;-2.990474939E0;2.272121429E0;-4.275444984E0
2.797205596E0;-2.999620676E0;2.275951385E0;-4.240860939E0
2.807205596E0;-2.964874983E0;2.485118389E0;-4.014984608E0
2.817205596E0;-2.512559414E0;2.580188036E0;-2.653463364E0
2.827003096E0;-2.590055704E0;2.505739212E0;-2.600619316E0
2.836092550E0;-2.636413574E0;2.478791714E0;-2.573575020E0
2.836192550E0;-2.392205000E0;2.481185913E0;-1.706873894E0
2.845423319E0;-2.090787411E0;2.466457367E0;-8.409962654E-1
2.854709104E0;-1.122530460E0;2.148526430E0;1.148540497E0
2.864040704E0;-1.180867672E0;2.177062988E0;1.305205345E0
2.873414954E0;-9.914698601E-1;2.079066992E0;2.036500931E0
2.882826718E0;-6.600050926E-1;1.908015728E0;3.052663803E0
2.892271162E0;-5.573041439E-1;1.103380442E0;3.794321060E0
2.901322425E0;-6.374795437E-1;1.137082815E0;3.824147224E0
2.910021175E0;-6.932380199E-1;1.169910908E0;3.842775345E0
