"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.755186291E2	5.235070689E1	4.903451792E0	1.171151162E1	5.278712749E0	1.669211884E2	1.368704319E1	0.000000000E0
1.765510729E2	5.235065919E1	4.903466732E0	1.196621442E1	5.037224293E0	1.637022095E2	1.370795155E1	0.000000000E0
1.775169271E2	5.235061346E1	4.903486045E0	1.196249437E1	4.873344898E0	1.635005188E2	1.431866550E1	0.000000000E0
1.785166437E2	5.235056498E1	4.903507448E0	1.206648991E1	5.158380032E0	1.638582153E2	1.421544838E1	0.000000000E0
1.795183942E2	5.235051193E1	4.903528653E0	1.228333154E1	5.412114620E0	1.656869659E2	1.438174629E1	0.000000000E0
1.805165140E2	5.235046225E1	4.903542550E0	1.249925862E1	5.317545414E0	1.688388977E2	1.497542763E1	0.000000000E0
1.815175317E2	5.235042614E1	4.903561773E0	1.237008398E1	4.590180874E0	1.654916687E2	1.357361126E1	0.000000000E0
1.825171927E2	5.235038030E1	4.903576392E0	1.211244118E1	4.984373569E0	1.656930695E2	1.372008324E1	0.000000000E0
1.835253833E2	5.235033123E1	4.903591207E0	1.169677878E1	5.342661858E0	1.708191528E2	1.572743797E1	0.000000000E0
1.845166843E2	5.235028486E1	4.903608368E0	1.161965498E1	5.114654064E0	1.693130493E2	1.430379677E1	0.000000000E0
1.855158916E2	5.235023873E1	4.903628775E0	1.145615661E1	5.360214233E0	1.664154053E2	1.613938713E1	0.000000000E0
1.865216640E2	5.235019443E1	4.903645874E0	1.111046884E1	4.891752720E0	1.654835052E2	1.414615250E1	0.000000000E0
1.875504182E2	5.235015074E1	4.903660751E0	1.089296427E1	4.954965115E0	1.701635437E2	1.590165329E1	0.000000000E0
1.885467583E2	5.235010385E1	4.903673864E0	1.067537784E1	5.122538567E0	1.678067474E2	1.618455696E1	0.000000000E0
1.895487125E2	5.235005503E1	4.903691484E0	1.049464462E1	5.310512543E0	1.673481903E2	1.610956764E1	0.000000000E0
1.905193896E2	5.235000615E1	4.903707469E0	1.026300392E1	5.100748539E0	1.670905304E2	1.459593678E1	0.000000000E0
1.915441448E2	5.234995998E1	4.903726253E0	1.022951931E1	4.953760624E0	1.679936981E2	1.630545425E1	0.000000000E0
1.925470802E2	5.234991649E1	4.903742055E0	1.026194937E1	4.810595512E0	1.687961121E2	1.622863579E1	0.000000000E0
1.935151307E2	5.234987300E1	4.903758721E0	1.040961602E1	4.691100121E0	1.667635651E2	1.438301182E1	0.000000000E0
1.945165609E2	5.234983046E1	4.903778049E0	1.046537898E1	4.783747673E0	1.643075867E2	1.413818455E1	0.000000000E0
1.955159734E2	5.234978878E1	4.903799774E0	1.081221714E1	4.739995480E0	1.631839752E2	1.418982315E1	0.000000000E0
1.965472771E2	5.234974350E1	4.903820307E0	1.110145940E1	4.781787395E0	1.655526428E2	1.411731148E1	0.000000000E0
1.975441687E2	5.234969787E1	4.903838880E0	1.140309018E1	4.715489864E0	1.664143524E2	1.394744396E1	0.000000000E0
1.985469635E2	5.234965333E1	4.903853031E0	1.160601281E1	4.598536015E0	1.684374847E2	1.378701115E1	0.000000000E0
1.995116760E2	5.234961156E1	4.903865987E0	1.158877279E1	4.122209072E0	1.663668976E2	1.409389973E1	0.000000000E0
2.005197823E2	5.234957293E1	4.903877815E0	1.167700629E1	4.116343021E0	1.688621521E2	1.391013241E1	0.000000000E0
2.015194922E2	5.234953503E1	4.903887882E0	1.164727300E1	4.120845795E0	1.701282654E2	1.414445114E1	0.000000000E0
2.025152078E2	5.234949946E1	4.903899565E0	1.180127255E1	3.789967060E0	1.652612610E2	1.446374702E1	0.000000000E0
2.035152437E2	5.234946283E1	4.903910920E0	1.183179271E1	4.082174778E0	1.716929626E2	1.446143436E1	0.000000000E0
2.045487609E2	5.234942753E1	4.903920799E0	1.167012252E1	3.881694078E0	1.711871796E2	1.452158833E1	0.000000000E0
2.055155140E2	5.234939435E1	4.903930184E0	1.145907352E1	3.604896545E0	1.702221069E2	1.518855667E1	0.000000000E0
2.065484609E2	5.234936367E1	4.903936443E0	1.120343692E1	3.342860937E0	1.761545563E2	1.554490471E1	0.000000000E0
2.075118380E2	5.234933445E1	4.903948997E0	1.096389680E1	3.094465494E0	1.719276886E2	1.509377956E1	0.000000000E0
2.085106135E2	5.234930550E1	4.903960210E0	1.074275131E1	2.985401154E0	1.698012543E2	1.499981403E1	0.000000000E0
2.095195890E2	5.234927598E1	4.903971153E0	1.051437712E1	3.180830002E0	1.737192383E2	1.492941666E1	0.000000000E0
2.105137776E2	5.234924605E1	4.903986407E0	1.045091260E1	3.150553942E0	1.700133820E2	1.660748672E1	0.000000000E0
2.115093812E2	5.234921120E1	4.904005901E0	1.056642507E1	3.773861170E0	1.669241333E2	1.419597054E1	0.000000000E0
2.125184729E2	5.234917682E1	4.904025733E0	1.081783572E1	3.786344290E0	1.670487976E2	1.229939079E1	0.000000000E0
