"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.203300290E3	-6.895300746E-1	3.332728863E0	1.097502041E1
1.204300290E3	-1.455674648E0	3.026270866E0	5.880159378E0
1.205300290E3	-2.834734917E0	2.719813108E0	6.837840080E0
1.206300290E3	-1.302445769E0	2.873042107E0	1.049618053E1
1.207300290E3	-1.302445769E0	3.945644379E0	9.222464561E0
1.208300290E3	-1.762132406E0	3.332728863E0	5.248090267E0
1.209300290E3	-1.455674648E0	1.647210717E0	8.590395927E0
1.210300290E3	7.661445439E-2	1.034295082E0	9.222464561E0
1.211300290E3	-7.661445439E-2	3.179499865E0	1.113782597E1
1.212300290E3	-5.363011956E-1	3.026270866E0	5.880159378E0
1.213300290E3	-1.149216771E0	1.187524080E0	7.000645638E0
1.214300290E3	-3.830722570E-1	2.681505978E-1	1.415452003E1
1.215300290E3	-1.302445769E0	3.026270866E0	9.864110947E0
1.216300290E3	-2.298433632E-1	2.566584110E0	6.837840080E0
1.217300290E3	1.149216771E0	1.493981838E0	7.316680431E0
1.218300290E3	6.895300746E-1	2.719813108E0	1.001733971E1
1.219300290E3	2.298433632E-1	3.792415380E0	1.049618053E1
1.220300290E3	-2.681505919E0	2.873042107E0	9.222464561E0
1.221300290E3	4.826710701E0	-1.915361285E-1	6.042964935E0
1.222300290E3	1.608903527E0	1.340752959E0	7.948749542E0
1.223300290E3	-3.830722570E-1	-1.264138460E0	9.864110947E0
1.224300290E3	6.895300746E-1	-9.576807022E-1	9.538499832E0
1.225300290E3	-2.528276920E0	8.810662031E-1	9.701305389E0
1.226300290E3	6.895300746E-1	-8.044517636E-1	9.864110947E0
1.227300290E3	-8.504204750E0	-4.175487995E0	1.097502041E1
1.228300290E3	-1.049618053E1	-2.643198729E0	5.401319027E0
1.229300290E3	-6.358999729E0	-2.489969730E0	3.016694069E0
1.230300290E3	-9.730035782E0	-2.643198729E0	3.658340216E0
1.231300290E3	-2.375048161E0	-2.183511972E0	9.385271072E0
1.232300290E3	4.213795185E0	1.034295082E0	8.590395927E0
1.233300290E3	2.528276920E0	2.260126352E0	7.469909191E0
1.234300290E3	2.221819162E0	1.340752959E0	7.469909191E0
1.235300290E3	9.959878922E-1	5.477933407E0	8.427590370E0
1.236300290E3	-7.661445439E-2	3.639186621E0	5.880159378E0
1.237300290E3	8.427590132E-1	3.945644379E0	7.469909191E0
1.238300290E3	-1.302445769E0	3.639186621E0	9.222464561E0
1.239300290E3	-2.528276920E0	5.171475887E0	1.097502041E1
1.240300290E3	-2.068590164E0	3.179499865E0	9.069235802E0
1.241300290E3	7.661445439E-2	5.018246651E0	6.205770969E0
1.242300290E3	-5.363011956E-1	3.945644379E0	3.495534420E0
1.243300290E3	-6.895300746E-1	1.340752959E0	1.224873543E1
1.244300290E3	-9.959878922E-1	3.485957623E0	9.701305389E0
1.245300290E3	2.221819162E0	4.098873138E0	1.001733971E1
1.246300290E3	-5.363011956E-1	3.639186621E0	6.358999729E0
1.247300290E3	-2.298433632E-1	1.800439715E0	7.795520782E0
1.248300290E3	1.608903527E0	-4.979939461E-1	1.511220074E1
1.249300290E3	-8.427590132E-1	5.018246651E0	9.385271072E0
1.250300290E3	-1.302445769E0	3.026270866E0	6.358999729E0
1.251300290E3	1.302445769E0	1.187524080E0	6.675034523E0
1.252300290E3	3.830722570E-1	1.800439715E0	7.632715225E0
1.253300290E3	2.987963676E0	8.810662031E-1	1.224873543E1
1.254300290E3	1.149216771E0	2.106897593E0	8.743624687E0
1.255300290E3	5.363011956E-1	1.493981838E0	6.042964935E0
1.256300290E3	4.826710701E0	3.332728863E0	1.256477070E1
1.257300290E3	1.915361404E0	4.865017891E0	8.427590370E0
1.258300290E3	2.068590164E0	2.873042107E0	6.042964935E0
1.259300290E3	2.834734917E0	2.719813108E0	1.081221485E1
1.260300290E3	9.959878922E-1	4.711789131E0	6.837840080E0
1.261300290E3	-3.830722570E-1	3.639186621E0	9.701305389E0
1.262300290E3	5.363011956E-1	6.550535679E0	7.153874874E0
1.263300290E3	1.149216771E0	3.639186621E0	3.974374771E0
1.264300290E3	1.608903527E0	6.397306919E0	6.042964935E0
1.265300290E3	2.375048161E0	7.316680431E0	8.274360657E0
1.266300290E3	2.221819162E0	3.945644379E0	6.358999729E0
1.267300290E3	6.895300746E-1	4.252102375E0	7.000645638E0
1.268300290E3	1.915361404E0	5.324704647E0	6.837840080E0
1.269300290E3	9.959878922E-1	5.477933407E0	7.153874874E0
1.270300290E3	9.959878922E-1	6.244078159E0	9.864110947E0
1.271300290E3	1.149216771E0	4.405331135E0	5.726930618E0
1.272300290E3	9.959878922E-1	5.784391403E0	6.837840080E0
1.273300290E3	9.959878922E-1	6.397306919E0	9.069235802E0
1.274300290E3	2.221819162E0	4.405331135E0	6.521805286E0
1.275300290E3	2.298433632E-1	5.937620163E0	7.469909191E0
1.276300290E3	2.987963676E0	5.324704647E0	1.145386124E1
1.277300290E3	8.427590132E-1	3.179499865E0	7.000645638E0
1.278300290E3	3.830722570E-1	4.405331135E0	6.837840080E0
1.279300290E3	1.608903527E0	4.711789131E0	8.274360657E0
1.280300290E3	-2.298433632E-1	4.865017891E0	9.222464561E0
1.281300290E3	8.427590132E-1	1.647210717E0	6.837840080E0
1.282300290E3	1.915361404E0	2.873042107E0	8.906430244E0
1.283300290E3	2.068590164E0	3.945644379E0	1.081221485E1
1.284300290E3	2.068590164E0	3.945644379E0	6.205770969E0
1.285300290E3	2.068590164E0	8.810662031E-1	6.358999729E0
1.286300290E3	2.068590164E0	1.647210717E0	7.000645638E0
1.287300290E3	2.834734917E0	3.639186621E0	1.241154194E1
1.288300290E3	-2.298433632E-1	4.252102375E0	8.274360657E0
1.289300290E3	3.830722570E-1	2.106897593E0	6.837840080E0
1.290300290E3	1.915361404E0	3.639186621E0	1.304361057E1
1.291300290E3	8.427590132E-1	6.397306919E0	9.222464561E0
1.292300290E3	1.149216771E0	3.485957623E0	6.042964935E0
1.293300290E3	5.363011956E-1	1.340752959E0	6.521805286E0
1.294300290E3	2.068590164E0	2.719813108E0	1.448013210E1
1.295300290E3	6.895300746E-1	3.179499865E0	1.097502041E1
1.296300290E3	3.830722570E-1	2.413355350E0	5.726930618E0
1.297300290E3	2.528276920E0	8.810662031E-1	9.385271072E0
1.298300290E3	1.915361404E0	2.719813108E0	9.864110947E0
1.299300290E3	2.681505919E0	2.413355350E0	9.864110947E0
1.300300290E3	-2.298433632E-1	2.873042107E0	7.153874874E0
1.301300290E3	-5.363011956E-1	1.187524080E0	6.837840080E0
1.302300290E3	2.987963676E0	-6.512228847E-1	1.829170036E1
1.303300290E3	2.681505919E0	4.558559895E0	1.335964584E1
1.304300290E3	3.830722570E-1	2.873042107E0	7.632715225E0
1.305300290E3	3.830722570E-1	2.566584110E0	7.000645638E0
1.306300290E3	2.298433632E-1	3.179499865E0	1.097502041E1
1.307300290E3	1.915361404E0	3.179499865E0	1.160709000E1
1.308300290E3	1.302445769E0	4.405331135E0	8.427590370E0
1.309300290E3	1.302445769E0	3.639186621E0	4.453215122E0
1.310300290E3	5.363011956E-1	2.719813108E0	7.316680431E0
1.311300290E3	3.600879431E0	4.405331135E0	1.335964584E1
1.312300290E3	4.826710701E0	6.090848923E0	1.081221485E1
1.313300290E3	1.302445769E0	2.719813108E0	6.675034523E0
1.314300290E3	2.681505919E0	5.018246651E0	8.111555099E0
1.315300290E3	1.608903527E0	5.477933407E0	6.837840080E0
1.316300290E3	9.959878922E-1	2.566584110E0	9.701305389E0
1.317300290E3	2.987963676E0	-3.447650373E-1	1.829170036E1
1.318300290E3	1.302445769E0	5.324704647E0	1.034295177E1
1.319300290E3	3.830722570E-1	3.945644379E0	7.153874874E0
1.320300290E3	3.830722570E-1	1.647210717E0	5.085284233E0
1.321300290E3	1.455674648E0	3.945644379E0	8.906430244E0
1.322300290E3	2.221819162E0	5.784391403E0	9.538499832E0
1.323300290E3	1.302445769E0	6.550535679E0	9.069235802E0
1.324300290E3	1.608903527E0	2.873042107E0	5.564124584E0
1.325300290E3	1.149216771E0	2.719813108E0	4.769249916E0
1.326300290E3	8.427590132E-1	2.413355350E0	6.837840080E0
1.327300290E3	5.363011956E-1	2.566584110E0	6.205770969E0
1.328300290E3	4.060565948E0	2.873042107E0	1.400129128E1
1.329300290E3	-2.298433632E-1	5.171475887E0	1.304361057E1
1.330300290E3	7.661445439E-2	5.477933407E0	1.049618053E1
1.331300290E3	7.661445439E-2	4.098873138E0	4.137180328E0
1.332300290E3	1.455674648E0	2.719813108E0	6.521805286E0
1.333300290E3	2.834734917E0	2.873042107E0	1.304361057E1
1.334300290E3	2.221819162E0	4.865017891E0	9.385271072E0
1.335300290E3	3.907337189E0	3.945644379E0	9.538499832E0
1.336300290E3	3.830722570E-1	3.332728863E0	5.880159378E0
1.337300290E3	1.455674648E0	1.953668594E0	4.769249916E0
1.338300290E3	3.830722570E-1	2.566584110E0	9.222464561E0
1.339300290E3	5.363011956E-1	5.018246651E0	1.304361057E1
1.340300290E3	2.298433632E-1	4.865017891E0	6.837840080E0
1.341300290E3	3.830722570E-1	2.260126352E0	4.453215122E0
1.342300290E3	1.762132406E0	2.260126352E0	6.042964935E0
1.343300290E3	2.987963676E0	2.413355350E0	1.145386124E1
1.344300290E3	3.600879431E0	3.945644379E0	1.272757626E1
1.345300290E3	9.959878922E-1	4.865017891E0	5.564124584E0
1.346300290E3	-8.427590132E-1	2.566584110E0	4.932055473E0
1.347300290E3	2.375048161E0	5.746083856E-1	1.574427032E1
1.348300290E3	5.363011956E-1	9.308655739E0	8.274360657E0
1.349300290E3	3.830722570E-1	4.865017891E0	7.316680431E0
1.350300290E3	1.608903527E0	1.800439715E0	3.811569214E0
1.351300290E3	2.834734917E0	4.213795066E-1	1.765963173E1
1.352300290E3	3.600879431E0	4.252102375E0	9.701305389E0
1.353300290E3	1.149216771E0	2.413355350E0	6.358999729E0
1.354300290E3	6.895300746E-1	1.800439715E0	5.564124584E0
1.355300290E3	1.302445769E0	8.810662031E-1	8.906430244E0
1.356300290E3	2.221819162E0	4.711789131E0	1.352245140E1
1.357300290E3	1.762132406E0	4.558559895E0	1.145386124E1
