"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
2.113102682E2	-5.769000053E-1	6.911999583E-1	-1.113299966E0
2.123102682E2	5.795999765E-1	-7.894999981E-1	1.440899968E0
2.133102682E2	-5.221999884E-1	-2.944999933E-1	-2.152999938E-1
2.143102682E2	7.737999558E-1	-2.038999945E-1	1.342599988E0
2.153102682E2	4.782999754E-1	2.421000004E-1	-1.315999985E0
2.163102682E2	-5.877999663E-1	1.782099962E0	-2.702499866E0
2.173102682E2	6.897999644E-1	-1.674000025E-1	5.505999923E-1
2.183102682E2	-6.665999889E-1	-4.308999777E-1	-4.199000001E-1
2.193102682E2	1.399999950E-2	6.924999952E-1	-1.562699914E0
2.203102682E2	-5.559999868E-2	-3.375000060E-1	-3.029299974E0
2.213102682E2	-1.701999903E-1	-8.089999557E-1	-1.101999998E0
2.223102682E2	2.246999890E-1	-3.233999908E-1	-1.307699919E0
2.233102682E2	-2.039999887E-2	-2.505999804E-1	4.953999817E-1
2.243102682E2	7.198999524E-1	7.892000079E-1	-1.598999977E0
2.253102682E2	6.216999888E-1	-1.578699946E0	8.746999502E-1
2.263102682E2	4.095999897E-1	-4.745999873E-1	2.277499914E0
2.273102682E2	1.680999994E-1	2.745999992E-1	1.173999980E-1
2.283102682E2	-6.838999987E-1	8.915999532E-1	-2.160899878E0
2.293102682E2	1.038399935E0	-1.059100032E0	3.016299963E0
2.303102682E2	-1.079999954E-1	6.377999783E-1	5.268999934E-1
2.313102682E2	-1.359799981E0	1.955999881E-1	-1.119899988E0
2.323102682E2	2.847999930E-1	-1.961999983E-1	1.506799936E0
2.333102682E2	1.356000006E-1	1.775999963E-1	-7.928999662E-1
2.343102682E2	-8.184999824E-1	3.539999947E-2	-1.497699976E0
2.353102682E2	2.574999928E-1	-2.847999930E-1	-6.721999645E-1
2.363102682E2	-8.579999954E-2	3.507999778E-1	-2.540999949E-1
2.373102682E2	-2.839999795E-1	-2.284999937E-1	-2.719999850E-2
2.383102682E2	9.637999535E-1	-9.896000028E-1	6.300000008E-3
2.393102682E2	-1.255999923E0	-1.203999966E-1	3.099900007E0
2.403102682E2	-4.637999833E-1	-1.976999938E-1	1.422599912E0
2.413102682E2	1.095199943E0	-3.084000051E-1	-4.391999841E-1
2.423102682E2	-4.438999891E-1	-3.228999972E-1	3.842399836E0
2.433102682E2	-7.192999721E-1	3.078999817E-1	-7.700999975E-1
2.443102682E2	5.781999826E-1	-1.961999983E-1	5.884000063E-1
2.453102682E2	-1.767999977E-1	-3.219999969E-1	2.992799997E0
2.463102682E2	-9.447000027E-1	7.459999919E-1	4.705999792E-1
2.473102682E2	-1.112399936E0	2.584999800E-1	-4.819999933E-1
2.483102682E2	2.850999832E-1	9.529999644E-2	1.219499946E0
2.493102682E2	6.929000020E-1	-7.683999538E-1	1.119099975E0
2.503102682E2	4.333999753E-1	-1.244999990E-1	1.305099964E0
2.513102682E2	-8.075000048E-1	2.459999919E-2	1.585099936E0
2.523102682E2	-1.211499929E0	1.198999956E-1	-1.340799928E0
2.533102682E2	9.690000117E-2	6.013000011E-1	-9.168999791E-1
2.543102682E2	-1.386999935E-1	-3.112999797E-1	8.955000043E-1
2.553102682E2	4.687999785E-1	1.399999950E-2	-5.685999990E-1
2.563102682E2	3.136999905E-1	-3.050000072E-1	6.466000080E-1
2.573102682E2	3.838999867E-1	2.601000071E-1	1.888999939E-1
2.583102682E2	-4.008999765E-1	8.769999444E-2	1.814099908E0
2.593102682E2	5.819999799E-2	3.754999936E-1	-1.276299953E0
2.603102682E2	-5.873000026E-1	1.683999896E-1	-5.256999731E-1
2.613102682E2	-1.374899983E0	1.651999950E-1	-1.120299935E0
2.623102682E2	-9.811999798E-1	3.811999857E-1	-7.827999592E-1
2.633102682E2	-1.593999982E0	6.751999855E-1	-5.726000071E-1
2.643102682E2	-9.730999470E-1	3.746999800E-1	-4.060999751E-1
2.653102682E2	4.329999909E-2	-2.043000013E-1	-3.062999845E-1
2.663102682E2	3.188000023E-1	4.813999832E-1	4.652999938E-1
2.673102682E2	1.606599927E0	-4.697999954E-1	-1.801999956E-1
2.683102682E2	2.122000009E-1	-4.147000015E-1	1.228999943E-1
2.693102682E2	3.522000015E-1	-6.464999914E-1	6.362999678E-1
2.703102682E2	1.586999893E-1	-1.283999979E-1	4.849999771E-2
2.713102682E2	1.224999949E-1	2.466999888E-1	1.395999938E-1
2.723102682E2	4.491999745E-1	-1.371999979E-1	-1.313300014E0
2.733102682E2	-4.521999955E-1	8.357999921E-1	-1.162500024E0
2.743102682E2	1.099999994E-3	3.344999850E-1	1.150399923E0
2.753102682E2	3.398000002E-1	7.519999892E-2	7.962999940E-1
2.763102682E2	8.064999580E-1	-5.523999929E-1	5.886999965E-1
2.773102682E2	2.084999979E-1	-1.388999939E0	8.944000006E-1
2.783102682E2	1.197600007E0	-1.067700028E0	-1.630499959E0
2.793102682E2	-4.211999774E-1	-1.391699910E0	4.975699902E0
2.803102682E2	1.167099953E0	-5.249999762E-1	-5.899999738E-1
2.813102682E2	1.826999933E-1	1.035999954E-1	-7.991999984E-1
2.823102682E2	1.070599914E0	-5.269999802E-2	-2.685999870E-1
2.833102682E2	-6.603999734E-1	-5.717999935E-1	2.033400059E0
2.843102682E2	-2.827999890E-1	5.210999846E-1	-5.304999948E-1
2.853102682E2	-6.807999611E-1	-5.133000016E-1	2.859699965E0
2.863102682E2	-1.191900015E0	8.659999818E-2	2.286999971E-1
2.873102682E2	-1.774699926E0	1.523000002E-1	2.419399977E0
2.883102682E2	9.009999782E-2	5.424999595E-1	-7.282999754E-1
2.893102682E2	5.022000074E-1	-1.045999974E-1	-1.304899931E0
2.903102682E2	1.679499984E0	4.055999815E-1	-2.732399940E0
2.913102682E2	-2.304999977E-1	5.956999660E-1	3.438999891E0
2.923102682E2	-6.729999930E-2	6.157000065E-1	-8.944000006E-1
2.933102682E2	-1.889999956E-2	4.836999774E-1	-3.004099846E0
2.943102682E2	-5.327999592E-1	2.629199982E0	-4.698199749E0
2.953102682E2	4.807999730E-1	3.446999788E-1	-2.106099844E0
2.963102682E2	9.742999673E-1	-6.053999662E-1	-2.795000076E-1
2.973102682E2	5.687999725E-1	-4.976999760E-1	1.512499928E0
2.983102682E2	5.713999867E-1	1.016499996E0	-4.305999875E-1
2.993102682E2	-5.819999576E-1	-7.708999515E-1	2.006799936E0
3.003102682E2	-1.289099932E0	2.406999916E-1	-1.405399919E0
3.013102682E2	-8.463000059E-1	2.768000066E-1	3.929999843E-2
3.023102682E2	-1.541000009E-1	1.157199979E0	2.163399935E0
3.033102682E2	3.450999856E-1	2.630999982E-1	-2.559999935E-2
3.043102682E2	4.710000008E-2	1.994999945E-1	-1.012699962E0
3.053102682E2	6.575999856E-1	-2.557999790E-1	-6.735000014E-1
3.063102682E2	-1.529999916E-2	1.173999980E-1	1.458400011E0
3.073102682E2	-2.352999896E-1	1.799999923E-2	9.615999460E-1
3.083102682E2	1.849000007E-1	1.784999967E-1	6.705999970E-1
3.093102682E2	1.792999953E-1	1.406999975E-1	-1.430999994E0
3.103102682E2	8.838999867E-1	-7.385999560E-1	3.371799946E0
3.113102682E2	2.881999910E-1	-3.539999947E-2	-4.999999888E-3
3.123102682E2	-5.599999800E-3	-7.100999951E-1	1.980099916E0
3.133102682E2	-5.544999838E-1	-4.174000025E-1	1.346099973E0
3.143102682E2	-7.972999811E-1	4.439999908E-2	-5.572999716E-1
3.153102682E2	-4.628999829E-1	3.370000049E-2	-2.694000006E-1
3.163102682E2	-2.694999874E-1	6.629999876E-1	-2.970999777E-1
3.173102682E2	-5.458999872E-1	2.016399860E0	-6.292999983E-1
3.183102682E2	-2.648999989E-1	8.950999975E-1	7.769999653E-2
3.193102682E2	5.799999833E-2	-2.802999914E-1	8.551999927E-1
3.203102682E2	7.732999921E-1	-1.222100019E0	5.784999728E-1
3.213102682E2	-1.597999930E-1	-4.948999882E-1	2.419899940E0
3.223102682E2	1.777999997E0	2.060000002E-1	-1.696200013E0
3.233102682E2	-7.515000105E-1	-1.030499935E0	-6.121999621E-1
3.243102682E2	6.269999743E-1	5.816999674E-1	-2.080000006E-2
3.253102682E2	5.414000154E-1	6.739000082E-1	-2.207499981E0
3.263102682E2	-1.880399942E0	2.077800035E0	5.657700062E0
3.273102682E2	3.312999904E-1	-2.027999908E-1	-5.996999741E0
3.283102682E2	-2.895999849E-1	1.960000023E-2	-1.276099920E0
3.293102682E2	1.041299939E0	4.411999881E-1	-3.241499901E0
3.303102682E2	1.225899935E0	-3.695999980E-1	2.346299887E0
3.313102682E2	9.692999721E-1	8.080999851E-1	2.165799856E0
3.323102682E2	-4.332999885E-1	1.038100004E0	2.119099855E0
3.333102682E2	8.159999549E-2	-5.127999783E-1	-1.709999919E0
3.343102682E2	6.740000099E-2	-5.260999799E-1	-7.931999564E-1
3.353102682E2	7.777000070E-1	2.036999911E-1	-1.398999929E0
3.363102682E2	6.143000126E-1	2.171999961E-1	-6.229999661E-2
3.373102682E2	4.271999896E-1	-6.193999648E-1	2.585799932E0
3.383102682E2	1.972000003E-1	9.749999642E-2	1.456799984E0
3.393102682E2	-1.857299924E0	4.175999761E-1	-5.238999724E-1
3.403102682E2	4.052999914E-1	-4.004999995E-1	2.169999927E-1
3.413102682E2	4.845999777E-1	1.241999939E-1	-2.633999884E-1
3.423102682E2	-7.689999789E-2	-2.908000052E-1	-1.158100009E0
3.433102682E2	-2.269999869E-2	-1.401000023E-1	1.889999956E-1
3.443102682E2	-2.264899969E0	3.597999811E-1	1.310299993E0
3.453102682E2	1.113199949E0	6.367999911E-1	6.523999572E-1
3.463102682E2	7.254999876E-1	-1.074900031E0	7.249999642E-1
3.473102682E2	4.901999831E-1	2.812999785E-1	-1.490599990E0
3.483102682E2	-7.303999662E-1	1.695999950E-1	4.750999808E-1
3.493102682E2	-2.124799967E0	1.026499987E0	1.554099917E0
3.503102682E2	9.750999808E-1	1.075999975E0	6.556999683E-1
3.513102682E2	1.797000021E-1	-6.618999839E-1	2.628399849E0
3.523102682E2	-7.339999676E-1	6.290000081E-1	5.121999979E-1
3.533102682E2	-9.501000047E-1	7.079999894E-2	-2.074999958E-1
3.543102682E2	7.608000040E-1	-2.567999959E-1	-1.388399959E0
3.553102682E2	7.155999541E-1	1.488000005E-1	-1.799399972E0
3.563102682E2	-1.912999898E-1	1.732999980E-1	2.685999870E-1
3.573102682E2	-8.472999930E-1	-4.083999991E-1	1.312600017E0
3.583102682E2	-5.024999976E-1	-1.507000029E-1	-1.166499972E0
3.593102682E2	7.925999761E-1	5.188999772E-1	-1.594000012E-1
3.603102682E2	8.285999894E-1	3.419999778E-2	-1.005699992E0
3.613102682E2	-3.643999994E-1	4.395999908E-1	-1.284999996E-1
3.623102682E2	-1.378700018E0	-2.190999985E-1	1.310099959E0
3.633102682E2	9.170999527E-1	4.329999909E-2	-1.823099971E0
3.643102682E2	1.677799940E0	-4.885999858E-1	-6.547999978E-1
3.653102682E2	3.735999763E-1	-3.449999988E-1	-2.797999978E-1
3.663102682E2	-8.409000039E-1	3.677999973E-1	8.014000058E-1
3.673102682E2	-2.052000016E-1	-1.225999966E-1	-4.217999876E-1
3.683102682E2	-5.099999718E-3	8.540999889E-1	1.166199923E0
3.693102682E2	8.799999952E-1	1.691000015E-1	-5.949999690E-1
3.703102682E2	4.852999747E-1	1.085899949E0	-1.289999962E0
3.713102682E2	-9.005999565E-1	-8.211999536E-1	1.165099978E0
3.723102682E2	5.554000139E-1	3.350999951E-1	-1.537899971E0
3.733102682E2	1.010699987E0	-5.426999927E-1	-1.499799967E0
3.743102682E2	7.886999846E-1	2.577999830E-1	-3.107100010E0
3.753102682E2	-8.222000003E-1	1.143999994E-1	9.896999598E-1
3.763102682E2	-7.074999809E-1	7.059999555E-2	4.704999924E-1
3.773102682E2	9.479999542E-1	8.919999748E-2	1.004999951E-1
3.783102682E2	9.451999664E-1	-3.379999846E-2	1.195999980E-1
3.793102682E2	-4.729999974E-2	1.816999912E-1	-1.102999926E0
3.803102682E2	-7.786999941E-1	-9.070000052E-2	-2.122099876E0
3.813102682E2	4.118999839E-1	2.426999956E-1	2.969999909E-1
3.823102682E2	1.068400025E0	-9.659999609E-1	2.002500057E0
3.833102682E2	6.911000013E-1	4.193999767E-1	-1.720399976E0
3.843102682E2	-2.827000022E-1	8.873999715E-1	-5.040000007E-2
3.853102682E2	-1.160099983E0	-2.769999951E-2	9.894999862E-1
3.863102682E2	2.635999918E-1	5.913999677E-1	7.299000025E-1
3.873102682E2	7.863000035E-1	-9.517999887E-1	-1.587799907E0
3.883102682E2	2.599999867E-2	4.883999825E-1	-9.995999932E-1
3.893102682E2	-1.456200004E0	4.822999835E-1	2.246999890E-1
3.903102682E2	-1.205799937E0	7.789999992E-2	-6.625999808E-1
3.913102682E2	4.617999792E-1	2.020999938E-1	9.686999917E-1
3.923102682E2	6.028000116E-1	-7.275999784E-1	8.104999661E-1
3.933102682E2	1.951999962E-1	1.322000027E-1	5.486999750E-1
3.943102682E2	-1.553699970E0	-4.329999909E-2	7.137999535E-1
3.953102682E2	-8.761999607E-1	4.323999882E-1	1.509299994E0
3.963102682E2	3.154999912E-1	-6.723999977E-1	1.685499907E0
3.973102682E2	6.302999854E-1	-6.857999563E-1	2.657999992E-1
3.983102682E2	-6.917999983E-1	6.617000103E-1	8.204999566E-1
3.993102682E2	1.569999941E-2	3.411999941E-1	4.456299782E0
4.003102682E2	5.835999846E-1	4.530999959E-1	6.631000042E-1
4.013102682E2	-7.433999777E-1	-6.527999640E-1	-1.729599953E0
4.023102682E2	2.545000017E-1	4.702000022E-1	5.509999767E-2
4.033102682E2	2.800999880E0	-1.309899926E0	6.286999583E-1
4.043102682E2	4.210000038E-1	5.667999983E-1	2.118999958E0
4.053102682E2	6.039999723E-1	4.400999844E-1	1.763599992E0
4.063102682E2	-1.921999902E-1	4.389999807E-1	4.131999910E-1
4.073102682E2	-5.407999754E-1	-3.676999807E-1	-4.540999830E-1
4.083102682E2	-1.668900013E0	-4.921000004E-1	-7.026999593E-1
4.093102682E2	6.553999782E-1	5.939999968E-2	-1.077899933E0
4.103102682E2	8.834999800E-1	1.163800001E0	-6.688999534E-1
4.113102682E2	2.236999869E-1	-7.256999612E-1	5.583999753E-1
4.123102682E2	8.766999841E-1	-1.018800020E0	1.158499956E0
4.133102682E2	3.252999783E-1	8.910999894E-1	-3.375999928E-1
4.143102682E2	-9.530999660E-1	-1.333999932E-1	-5.475999713E-1
4.153102682E2	-2.331199884E0	1.193000004E-1	-4.120000005E-1
4.163102682E2	-4.918999970E-1	-2.719999850E-1	1.774999946E-1
4.173102682E2	1.362999976E-1	8.084999919E-1	-8.276999593E-1
4.183102682E2	1.897999942E-1	3.470000029E-1	6.399999857E-1
4.193102682E2	2.540999949E-1	-9.298999906E-1	9.504999518E-1
4.203102682E2	3.888999820E-1	3.610999882E-1	2.379999906E-1
4.213102682E2	7.767999768E-1	7.297999859E-1	1.040199995E0
4.223102682E2	-5.191000104E-1	6.870000064E-2	2.125999928E-1
4.233102682E2	-1.954499960E0	2.447999865E-1	6.053000093E-1
4.243102682E2	-3.989999890E-1	3.443999887E-1	1.868099928E0
4.253102682E2	4.138999879E-1	-4.640999734E-1	-1.999999881E-1
4.263102682E2	7.231999636E-1	8.569999784E-2	-3.662099838E0
4.273102682E2	-2.247999907E-1	1.878999919E-1	2.533599854E0
4.283102682E2	-2.325999886E-1	8.297999501E-1	1.951099992E0
4.293102682E2	-1.782199979E0	-7.270000130E-2	6.327999830E-1
4.303102682E2	1.306999922E-1	6.350000203E-2	-4.166999757E-1
4.313102682E2	6.517999768E-1	5.802999735E-1	7.730999589E-1
4.323102682E2	1.197000027E0	-9.741999507E-1	-2.604999840E-1
4.333102682E2	4.943999946E-1	3.815999925E-1	2.383999974E-1
4.343102682E2	-4.619999826E-1	1.919000000E-1	1.364899993E0
4.353102682E2	-8.495000005E-1	-2.016000003E-1	-1.975799918E0
4.363102682E2	8.859999776E-1	6.380999684E-1	1.480000000E-2
4.373102682E2	7.208999991E-1	-2.920999825E-1	-1.004699945E0
4.383102682E2	1.032599926E0	-2.988999784E-1	3.876999915E-1
4.393102682E2	7.170999646E-1	-1.074000001E-1	-5.855000019E-1
4.403102682E2	-1.254400015E0	1.489000022E-1	2.426999956E-1
